Filename,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy
cpu_inf_pp0x1_seed0.csv,0.00015109555723330644,0.0016461612447052798,42.5,0.0,0.21529340744018555,0.001083529220024745,0,5.4491531127245185e-06
cpu_inf_pp0x1_seed1.csv,0.00017984472124050059,0.0016462534927439404,42.5,0.0,0.21768522262573242,0.0012896097037527294,0,6.570114767247998e-06
cpu_inf_pp0x1_seed2.csv,0.0001719729215577769,0.0016464821417869243,42.5,0.0,0.22327423095703125,0.0012329978982607529,0,6.448156744787828e-06
cpu_inf_pp0x1_seed3.csv,0.00019866929798151745,0.0016465022130323793,42.5,0.0,0.2233700752258301,0.001424395930435923,0,7.456685681808037e-06
cpu_inf_pp0x1_seed4.csv,0.0001531391535084409,0.0016464930926951306,42.5,0.0,0.22355318069458008,0.0010979612678289413,0,5.74574583109211e-06
cpu_inf_pp68x3_seed0.csv,6.401242437790955e-05,0.0016460549138063577,42.5,0.0,0.21360254287719727,0.0004590690366095967,0,2.282356085590323e-06
cpu_inf_pp68x3_seed1.csv,6.667421810128922e-05,0.0016462183396946822,42.5,0.0,0.2176837921142578,0.000478106268412537,0,2.4292475725076207e-06
cpu_inf_pp68x3_seed2.csv,6.548256894825028e-05,0.0016464269703384625,42.5,0.0,0.22326564788818362,0.0004695034343335364,0,2.443608371494861e-06
cpu_inf_pp68x3_seed3.csv,6.257211986990257e-05,0.0016464542349010106,42.5,0.0,0.22336578369140625,0.00044863168630335085,0,2.3391201676486157e-06
cpu_inf_pp68x3_seed4.csv,6.5867541950406e-05,0.0016466761328425865,42.5,0.0,0.22354602813720703,0.0004721920096211962,0,2.5296168059895765e-06
cpu_inf_pp90x2_seed0.csv,7.281586277949101e-05,0.0016460831685515937,42.5,0.0,0.21364259719848633,0.0005221924795044795,0,2.607198528225372e-06
cpu_inf_pp90x2_seed1.csv,7.681430894783097e-05,0.0016462211486665424,42.5,0.0,0.21768522262573242,0.000550820666882727,0,2.7966778187155227e-06
cpu_inf_pp90x2_seed2.csv,7.528115163398633e-05,0.0016464480950456857,42.5,0.0,0.2232670783996582,0.0005397478246026568,0,2.819723612603299e-06
cpu_inf_pp90x2_seed3.csv,9.106021618936833e-05,0.0016464710921556102,42.5,0.0,0.22336864471435547,0.0006528790639506446,0,3.411616590860452e-06
cpu_inf_pp90x2_seed4.csv,8.714858756733642e-05,0.0016464739457880521,42.5,0.0,0.22355318069458008,0.0006248332164353795,0,3.2655102781191662e-06
gpu_inf_pp0x1_seed0.csv,7.020412924508171e-05,0.0028822480901825403,42.5,31.785,0.9505205154418945,0.000287537272936768,0.00021213569874187308,6.303377677509918e-06
gpu_inf_pp0x1_seed1.csv,7.059080071904935e-05,0.002887327558057353,42.5,31.767000000000003,0.9557147026062012,0.00028861342585749105,0.00021378556004676556,6.364188427891216e-06
gpu_inf_pp0x1_seed2.csv,7.183342613416146e-05,0.00289124683519654,42.5,31.965,0.9559006690979004,0.00029329544454813003,0.0002179912364623944,6.432363552000594e-06
gpu_inf_pp0x1_seed3.csv,6.774103769730887e-05,0.0028723873128669005,42.5,31.489000000000004,0.9564127922058105,0.00027840174684921903,0.00020367475983937581,6.1478089499751314e-06
gpu_inf_pp0x1_seed4.csv,7.008835209677076e-05,0.0028816399947432874,42.5,31.668000000000003,0.9565057754516602,0.000287123891711235,0.00021167395275904075,6.344073927594515e-06
gpu_inf_pp68x3_seed0.csv,6.914554179257187e-05,0.002872963725006322,42.5,31.588000000000005,0.7339982986450195,0.00028411704268720416,0.00020941137296477956,4.818464890084803e-06
gpu_inf_pp68x3_seed1.csv,7.181520456534267e-05,0.002889150310598948,42.5,32.064,0.9557104110717773,0.0002934339879287613,0.00021767016171210342,6.483568132629312e-06
gpu_inf_pp68x3_seed2.csv,6.83022210078173e-05,0.0028903369201770104,42.5,31.866,0.9558978080749512,0.00027896475841601687,0.00020714915854056675,6.154968222609796e-06
gpu_inf_pp68x3_seed3.csv,7.099095863898888e-05,0.0028859197209194624,42.5,31.668000000000003,0.9564099311828613,0.0002903906833794383,0.0002148404191287359,6.41609653411763e-06
gpu_inf_pp68x3_seed4.csv,6.745401200560168e-05,0.002880101912750227,42.5,31.884000000000004,0.9565043449401855,0.00027647953132788343,0.0002035681526213222,6.107975426219998e-06
gpu_inf_pp90x2_seed0.csv,6.672314639575945e-05,0.0028697905885840614,42.5,31.983000000000004,0.7340312004089355,0.0002744670551684168,0.00020178978276265994,4.631314858704058e-06
gpu_inf_pp90x2_seed1.csv,7.097502108257659e-05,0.0028866846744336947,42.5,32.082,0.9557132720947266,0.0002902482219868236,0.0002149015958302551,6.382515807781318e-06
gpu_inf_pp90x2_seed2.csv,6.792617499344801e-05,0.0029461779592917913,42.5,31.965,0.9559006690979004,0.00027217058506276865,0.000211123985886044,6.264069240712708e-06
gpu_inf_pp90x2_seed3.csv,7.087161551389705e-05,0.0028754962355444272,42.5,31.39,0.9564127922058105,0.0002909523833129142,0.00021342216875069674,6.412515254179047e-06
gpu_inf_pp90x2_seed4.csv,7.030573578976878e-05,0.0028826109256195366,42.5,31.668000000000003,0.9565043449401855,0.00028791773948404523,0.00021243626788556576,6.354642338446108e-06
